Interval, Ratio
1294000, 0.375200
1295000, 0.375143
1296000, 0.375129
1297000, 0.375157
1298000, 0.375214
1299000, 0.375179
1300000, 0.375255
1301000, 0.375278
1302000, 0.375281
1303000, 0.375263
1304000, 0.375206
1305000, 0.375188
1306000, 0.375188
1307000, 0.375219
1308000, 0.375225
1309000, 0.375252
1310000, 0.375235
1311000, 0.375237
1312000, 0.375279
1313000, 0.375253
1314000, 0.375233
1315000, 0.375272
1316000, 0.375271
1317000, 0.375222
1318000, 0.375195
1319000, 0.375279
1320000, 0.375276
1321000, 0.375262
1322000, 0.375272
1323000, 0.375257
1324000, 0.375260
1325000, 0.375252
1326000, 0.375268
1327000, 0.375202
1328000, 0.375132
1329000, 0.375151
1330000, 0.375182
1331000, 0.375188
1332000, 0.375183
1333000, 0.375219
1334000, 0.375232
1335000, 0.375190
1336000, 0.375193
1337000, 0.375212
1338000, 0.375209
1339000, 0.375249
1340000, 0.375281
1341000, 0.375270
1342000, 0.375290
1343000, 0.375336
1344000, 0.375322
1345000, 0.375392
1346000, 0.375345
1347000, 0.375343
1348000, 0.375381
1349000, 0.375394
1350000, 0.375429
1351000, 0.375466
1352000, 0.375438
1353000, 0.375410
1354000, 0.375460
1355000, 0.375511
1356000, 0.375505
1357000, 0.375523
1358000, 0.375484
1359000, 0.375528
1360000, 0.375562
1361000, 0.375574
1362000, 0.375581
1363000, 0.375591
1364000, 0.375641
1365000, 0.375617
1366000, 0.375669
1367000, 0.375600
1368000, 0.375662
1369000, 0.375654
1370000, 0.375674
1371000, 0.375680
1372000, 0.375684
1373000, 0.375717
1374000, 0.375700
1375000, 0.375712
1376000, 0.375748
1377000, 0.375742
1378000, 0.375708
1379000, 0.375647
1380000, 0.375668
1381000, 0.375656
1382000, 0.375600
1383000, 0.375652
1384000, 0.375664
1385000, 0.375706
1386000, 0.375674
1387000, 0.375677
1388000, 0.375692
1389000, 0.375687
1390000, 0.375658
1391000, 0.375647
1392000, 0.375664
1393000, 0.375699
1394000, 0.375717
1395000, 0.375768
1396000, 0.375824
1397000, 0.375895
1398000, 0.375943
1399000, 0.375965
1400000, 0.375907
1401000, 0.375912
1402000, 0.375942
1403000, 0.375941
1404000, 0.375973
1405000, 0.375976
1406000, 0.375940
1407000, 0.375881
1408000, 0.375875
1409000, 0.375891
1410000, 0.375951
1411000, 0.375921
1412000, 0.375944
1413000, 0.376004
1414000, 0.375947
1415000, 0.375915
1416000, 0.375922
1417000, 0.375935
1418000, 0.375941
1419000, 0.375939
1420000, 0.375919
1421000, 0.375900
1422000, 0.375868
1423000, 0.375845
1424000, 0.375854
1425000, 0.375802
1426000, 0.375802
1427000, 0.375766
1428000, 0.375697
1429000, 0.375711
1430000, 0.375655
1431000, 0.375620
1432000, 0.375581
1433000, 0.375580
1434000, 0.375607
1435000, 0.375611
1436000, 0.375599
1437000, 0.375554
1438000, 0.375580
1439000, 0.375545
1440000, 0.375513
1441000, 0.375539
1442000, 0.375562
1443000, 0.375603
1444000, 0.375625
1445000, 0.375671
1446000, 0.375689
1447000, 0.375688
1448000, 0.375637
1449000, 0.375732
1450000, 0.375715
1451000, 0.375777
1452000, 0.375713
1453000, 0.375710
1454000, 0.375665
1455000, 0.375711
1456000, 0.375640
1457000, 0.375650
1458000, 0.375660
1459000, 0.375673
1460000, 0.375721
1461000, 0.375750
1462000, 0.375720
1463000, 0.375706
1464000, 0.375719
1465000, 0.375723
1466000, 0.375771
1467000, 0.375777
1468000, 0.375840
1469000, 0.375796
1470000, 0.375730
1471000, 0.375687
1472000, 0.375715
1473000, 0.375732
1474000, 0.375771
1475000, 0.375743
1476000, 0.375768
1477000, 0.375772
1478000, 0.375782
1479000, 0.375742
1480000, 0.375766
1481000, 0.375772
1482000, 0.375791
1483000, 0.375814
1484000, 0.375804
1485000, 0.375790
1486000, 0.375796
1487000, 0.375786
1488000, 0.375734
1489000, 0.375755
1490000, 0.375702
1491000, 0.375718
1492000, 0.375668
1493000, 0.375706
1494000, 0.375704
1495000, 0.375680
1496000, 0.375666
